model,layer,normalized_depth,pooling,source_language,target_language,condition,metric,value,n
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,raw,r1,0.00390625,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,raw,r5,0.015625,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,raw,r10,0.017578125,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ko,raw,mrr,0.014996462888940385,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ja,raw,r1,0.0,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ja,raw,r5,0.0078125,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ja,raw,r10,0.0078125,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,ja,raw,mrr,0.011105388016606972,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,raw,r1,0.0078125,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,raw,r5,0.029296875,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,raw,r10,0.04296875,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,en,zh,raw,mrr,0.024161923170655044,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,raw,r1,0.00390625,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,raw,r5,0.01171875,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,raw,r10,0.025390625,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,en,raw,mrr,0.013758199859964921,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,raw,r1,0.0,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,raw,r5,0.005859375,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,raw,r10,0.005859375,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,ja,raw,mrr,0.010688744788777517,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,raw,r1,0.001953125,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,raw,r5,0.021484375,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,raw,r10,0.025390625,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ko,zh,raw,mrr,0.01641005735491923,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,raw,r1,0.001953125,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,raw,r5,0.001953125,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,raw,r10,0.0078125,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,en,raw,mrr,0.011748921423374475,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,raw,r1,0.001953125,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,raw,r5,0.005859375,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,raw,r10,0.03125,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,ko,raw,mrr,0.01205798762146516,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,raw,r1,0.0,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,raw,r5,0.0,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,raw,r10,0.0078125,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,ja,zh,raw,mrr,0.005367965104129621,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,raw,r1,0.009765625,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,raw,r5,0.0234375,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,raw,r10,0.037109375,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,en,raw,mrr,0.026578738646823266,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,raw,r1,0.005859375,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,raw,r5,0.017578125,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,raw,r10,0.046875,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ko,raw,mrr,0.02061798731466394,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,raw,r1,0.0,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,raw,r5,0.0078125,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,raw,r10,0.0078125,512
Qwen/Qwen2.5-0.5B,0,0.0,last_token,zh,ja,raw,mrr,0.007600510148682141,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,ko,raw,r1,0.017578125,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,ko,raw,r5,0.052734375,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,ko,raw,r10,0.08984375,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,ko,raw,mrr,0.04672191808045148,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,ja,raw,r1,0.009765625,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,ja,raw,r5,0.03515625,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,ja,raw,r10,0.05078125,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,ja,raw,mrr,0.03017967261950393,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,zh,raw,r1,0.03125,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,zh,raw,r5,0.08203125,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,zh,raw,r10,0.119140625,512
Qwen/Qwen2.5-0.5B,1,0.041666666666666664,last_token,en,zh,raw,mrr,0.065398648138494,512
