model,layer,normalized_depth,pooling,source_language,target_language,metric,n_train,n_eval,condition,status,value
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,r1,256,512,raw,ok,0.00390625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,r1,256,512,centered,ok,0.00390625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,r1,256,512,centered_delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,r1,256,512,aligned,ok,0.001953125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,r1,256,512,delta,ok,-0.001953125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,r5,256,512,raw,ok,0.015625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,r5,256,512,centered,ok,0.015625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,r5,256,512,centered_delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,r5,256,512,aligned,ok,0.015625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,r5,256,512,delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,r10,256,512,raw,ok,0.04296875
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,r10,256,512,centered,ok,0.017578125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,r10,256,512,centered_delta,ok,-0.025390625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,r10,256,512,aligned,ok,0.017578125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,r10,256,512,delta,ok,-0.025390625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,mrr,256,512,raw,ok,0.019485124674048074
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,mrr,256,512,centered,ok,0.01519103426617958
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,mrr,256,512,centered_delta,ok,-0.004294090407868495
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,mrr,256,512,aligned,ok,0.013645711112704087
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ko,mrr,256,512,delta,ok,-0.005839413561343987
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,r1,256,512,raw,ok,0.00390625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,r1,256,512,centered,ok,0.00390625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,r1,256,512,centered_delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,r1,256,512,aligned,ok,0.001953125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,r1,256,512,delta,ok,-0.001953125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,r5,256,512,raw,ok,0.015625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,r5,256,512,centered,ok,0.013671875
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,r5,256,512,centered_delta,ok,-0.001953125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,r5,256,512,aligned,ok,0.013671875
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,r5,256,512,delta,ok,-0.001953125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,r10,256,512,raw,ok,0.033203125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,r10,256,512,centered,ok,0.029296875
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,r10,256,512,centered_delta,ok,-0.00390625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,r10,256,512,aligned,ok,0.03125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,r10,256,512,delta,ok,-0.001953125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,mrr,256,512,raw,ok,0.01963767083477072
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,mrr,256,512,centered,ok,0.014557145824327895
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,mrr,256,512,centered_delta,ok,-0.005080525010442826
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,mrr,256,512,aligned,ok,0.013933124936447912
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ko,en,mrr,256,512,delta,ok,-0.005704545898322809
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,r1,256,512,raw,ok,0.001953125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,r1,256,512,centered,ok,0.001953125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,r1,256,512,centered_delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,r1,256,512,aligned,ok,0.001953125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,r1,256,512,delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,r5,256,512,raw,ok,0.01171875
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,r5,256,512,centered,ok,0.01171875
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,r5,256,512,centered_delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,r5,256,512,aligned,ok,0.01171875
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,r5,256,512,delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,r10,256,512,raw,ok,0.01171875
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,r10,256,512,centered,ok,0.01171875
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,r10,256,512,centered_delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,r10,256,512,aligned,ok,0.01171875
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,r10,256,512,delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,mrr,256,512,raw,ok,0.009718872319866958
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,mrr,256,512,centered,ok,0.009703856084786563
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,mrr,256,512,centered_delta,ok,-1.5016235080394028e-05
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,mrr,256,512,aligned,ok,0.009511195771210491
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,ja,mrr,256,512,delta,ok,-0.00020767654865646613
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,en,r1,256,512,raw,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,en,r1,256,512,centered,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,en,r1,256,512,centered_delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,en,r1,256,512,aligned,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,en,r1,256,512,delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,en,r5,256,512,raw,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,en,r5,256,512,centered,ok,0.001953125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,en,r5,256,512,centered_delta,ok,0.001953125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,en,r5,256,512,aligned,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,en,r5,256,512,delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,en,r10,256,512,raw,ok,0.009765625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,en,r10,256,512,centered,ok,0.009765625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,en,r10,256,512,centered_delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,en,r10,256,512,aligned,ok,0.009765625
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,en,r10,256,512,delta,ok,0.0
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,en,mrr,256,512,raw,ok,0.005549159186088781
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,en,mrr,256,512,centered,ok,0.005686706222189572
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,en,mrr,256,512,centered_delta,ok,0.00013754703610079078
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,en,mrr,256,512,aligned,ok,0.010354554101377707
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,ja,en,mrr,256,512,delta,ok,0.0048053949152889255
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,zh,r1,256,512,raw,ok,0.0078125
trillionlabs/Tri-0.5B-Base,0,0.0,last_token,en,zh,r1,256,512,centered,ok,0.009765625
